Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
2024-11-13,21:19:18,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.49,USD,3.27,lb,,1.0,18,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:18:49,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.45,USD,3.22,lb,,1.0,29,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:18:08,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,55.45,USD,10.10,lb,,1.0,21,Beef - Ground,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:17:34,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.08,USD,6.17,lb,,1.0,24,Pasta,Starch,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:17:09,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.85,USD,4.16,lb,,1.0,27,Tofu,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:16:36,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.85,USD,3.00,lb,,1.0,47,Rice,Starch,Overproduction,Blackboard Special,Donation,Quarter Hotel (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,21:16:36,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.15,USD,1.51,lb,,1.0,34,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:15:28,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.66,USD,7.45,lb,,1.0,82,Vegetables,Fruit-Vegetable,Presented - Not Sold,Big C Vegan,Donation,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:14:00,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.34,USD,5.71,lb,,1.0,162,Vegetables,Fruit-Vegetable,Presented - Not Sold,Big C Vegan,Donation,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:12:04,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,6.50,USD,2.00,lb,,1.0,24,Pizza w Cheese,Mixed Foods,Overproduction,Pizzas,Compost,No Pan,Pre-Consumer,Student Worker,,0,
2024-11-13,21:10:57,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.36,USD,3.10,lb,,1.0,25,Vegetables,Fruit-Vegetable,Overproduction,Pasta Station,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,21:09:22,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,6.08,USD,6.40,lb,,1.0,28,Rice,Starch,Overproduction,Kitchen,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,21:09:03,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,13.48,USD,5.39,lb,,1.0,26,Soup with Meat,Soup-Sauce-Gravy,Presented - Not Sold,Soups,Compost,Half Hotel Pan (6-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,21:08:14,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,15.77,USD,7.01,lb,,1.0,45,Soup-Vegetarian-Pasta,Soup-Sauce-Gravy,Presented - Not Sold,Soups,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,21:06:28,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,24.35,USD,9.74,lb,,1.0,25,Mixed Plate-Other,Mixed Foods,Presented - Not Sold,Salad Bar,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:52:59,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,1.33,USD,2.60,lb,,1.0,28,Potatoes,Starch,Presented - Not Sold,Bear Fit,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:52:30,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,3.44,USD,4.52,lb,,1.0,20,Vegetables,Fruit-Vegetable,Presented - Not Sold,Bear Fit,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:51:50,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,10.45,USD,11.00,lb,,1.0,23,Rice,Starch,Presented - Not Sold,Daily Rice,Compost,Round Bowl - Large,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:51:21,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,9.06,USD,9.54,lb,,1.0,23,Rice,Starch,Presented - Not Sold,Daily Rice,Compost,Round Bowl - Large,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:50:56,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,1.62,USD,1.71,lb,,1.0,18,Rice,Starch,Presented - Not Sold,Bear Fit,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:50:37,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,25.43,USD,5.30,lb,,1.0,20,Chicken - Boneless,Meat-Protein,Presented - Not Sold,Bear Fit,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:50:03,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,13.38,USD,5.35,lb,,1.0,45,Mixed Plate-Other,Mixed Foods,Presented - Not Sold,Main Line Omni,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:48:14,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,3.95,USD,5.20,lb,,1.0,31,Vegetables,Fruit-Vegetable,Presented - Not Sold,Main Line Veggie,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:47:13,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,4.24,USD,5.58,lb,,1.0,56,Vegetables,Fruit-Vegetable,Presented - Not Sold,Main Line Veggie,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,20:42:44,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.04,USD,6.31,lb,,1.0,31,Beans,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-13,18:09:51,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,3.71,USD,3.90,lb,,1.0,29,Rice,Starch,Presented - Not Sold,Hot Line,Donation,Half Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,18:09:17,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,11.70,USD,2.60,lb,,1.0,30,Alternative Meat,Meat-Protein,Presented - Not Sold,Hot Line,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,18:08:36,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,5.25,USD,2.10,lb,,1.0,21,Mixed Plate-Other,Mixed Foods,Presented - Not Sold,Hot Line,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,18:08:02,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,27.83,USD,5.80,lb,,1.0,41,Chicken - Boneless,Meat-Protein,Presented - Not Sold,Hot Line,Donation,Half Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,18:07:10,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,8.75,USD,3.50,lb,,1.0,85,Mixed Plate-Other,Mixed Foods,Presented - Not Sold,Hot Line,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,18:04:29,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,0.90,USD,1.80,lb,,1.0,20,Soup with Meat,Soup-Sauce-Gravy,Trimmings & By-Products,Hot Line,Compost,Soup Container-Large,Pre-Consumer,FSW,,0,
2024-11-13,18:03:13,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,11.25,USD,5.00,lb,,1.0,16,Soup-Vegetarian-Pasta,Soup-Sauce-Gravy,Presented - Not Sold,Hot Line,Compost,Half Hotel Pan (4-inch) Plastic,Pre-Consumer,Student,,0,
2024-11-13,18:01:57,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,7.65,USD,3.40,lb,,1.0,18,Soup-Vegetarian-Pasta,Soup-Sauce-Gravy,Presented - Not Sold,Hot Line,Compost,Third Hotel Pan (6-inch) Metal,Pre-Consumer,Student,,0,
2024-11-13,18:01:18,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,12.00,USD,4.80,lb,,1.0,35,Soup with Meat,Soup-Sauce-Gravy,Presented - Not Sold,Hot Line,Compost,Half Hotel Pan (4-inch) Plastic,Pre-Consumer,Student,,0,
2024-11-13,17:50:00,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,5.25,USD,2.10,lb,,1.0,18,Soup with Meat,Soup-Sauce-Gravy,Timed or Temp'd Out,Hot Line,Compost,Soup Container-Large,Pre-Consumer,FSW,,0,
2024-11-13,17:48:29,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,4.47,USD,5.80,lb,,1.0,14,Broth,Soup-Sauce-Gravy,Timed or Temp'd Out,Hot Line,Compost,Soup Container-Large,Pre-Consumer,FSW,,0,
2024-11-13,16:35:09,University of California - Berkeley,Brown's,,Brown's - LB02371,US,NORAM,College/University,5.34,USD,5.62,lb,,1.0,21,Rice,Starch,Presented - Not Sold,Kitchen,Donation,Half Hotel Pan (4-inch) Metal,Pre-Consumer,"FSW English ",,0,
2024-11-13,16:34:46,University of California - Berkeley,Brown's,,Brown's - LB02371,US,NORAM,College/University,19.05,USD,3.97,lb,,1.0,24,Chicken - Boneless,Meat-Protein,Presented - Not Sold,Kitchen,Donation,Half Hotel Pan (6-inch) Metal,Pre-Consumer,"FSW English ",,0,
2024-11-13,16:34:21,University of California - Berkeley,Brown's,,Brown's - LB02371,US,NORAM,College/University,3.49,USD,2.12,lb,,1.0,23,Tofu,Meat-Protein,Presented - Not Sold,Kitchen,Donation,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,"FSW English ",,0,
2024-11-13,16:33:57,University of California - Berkeley,Brown's,,Brown's - LB02371,US,NORAM,College/University,1.95,USD,2.56,lb,,1.0,29,Vegetables,Fruit-Vegetable,Presented - Not Sold,Kitchen,Donation,Half Hotel Pan (4-inch) Metal,Pre-Consumer,"FSW English ",,0,
2024-11-13,15:59:34,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,1.12,USD,7.40,lb,,1.0,26,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Cold Line,Compost,Cambro 12 Qt,Pre-Consumer,LFSW,,0,
2024-11-13,15:58:54,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,1.81,USD,11.93,lb,,1.0,37,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Cold Line,Compost,Cambro 22 Qt,Pre-Consumer,LFSW,,0,
2024-11-13,15:34:47,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,8.16,USD,10.74,lb,,1.0,20,Vegetables,Fruit-Vegetable,Overproduction,Center Plate,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Cook,,0,
2024-11-13,15:33:56,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.20,USD,8.16,lb,,1.0,27,Vegetables,Fruit-Vegetable,Overproduction,Center Plate,Compost,Full Hotel Pan (6-inch) Metal,Pre-Consumer,Cook,,0,
2024-11-13,15:32:01,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,11.70,USD,7.10,lb,,1.0,523,Tofu,Meat-Protein,Overproduction,Blue Plate,Donation,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Stephanie,,0,
2024-11-13,15:22:21,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.63,USD,3.46,lb,,1.0,89,Vegetables,Fruit-Vegetable,Overproduction,Blue Plate,Donation,Donation Pan,Pre-Consumer,Stephanie,,0,
2024-11-13,15:12:54,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.33,USD,3.06,lb,,1.0,25,Vegetables,Fruit-Vegetable,Presented - Not Sold,Kitchen,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Bettye,,0,
2024-11-13,15:12:16,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.39,USD,3.15,lb,,1.0,31,Vegetables,Fruit-Vegetable,Presented - Not Sold,Kitchen,Compost,Shotgun Pan (4-inch) Plastic,Pre-Consumer,Bettye,,0,
2024-11-13,15:11:42,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,12.93,USD,7.85,lb,,1.0,50,Tofu,Meat-Protein,Presented - Not Sold,Kitchen,Compost,Half Hotel Pan (1-inch) Metal,Pre-Consumer,Bettye,,0,
2024-11-13,15:10:43,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,6.56,USD,6.90,lb,,1.0,57,Rice,Starch,Presented - Not Sold,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Bettye,,0,
2024-11-13,14:57:36,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,29.20,USD,11.68,lb,,1.0,16,Soup with Meat,Soup-Sauce-Gravy,Presented - Not Sold,Soups,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,14:56:50,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,25.83,USD,11.48,lb,,1.0,35,Soup-Vegetarian-Pasta,Soup-Sauce-Gravy,Presented - Not Sold,Soups,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,14:37:14,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,55.79,USD,14.49,lb,,1.0,30,Pork,Meat-Protein,Presented - Not Sold,Main Line Omni,Compost,Quarter Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,14:36:10,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,20.76,USD,12.60,lb,,1.0,42,Tofu,Meat-Protein,Presented - Not Sold,Main Line Omni,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,11:45:58,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,2.13,USD,14.03,lb,,1.0,25,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Cambro 22 Qt,Pre-Consumer,LFSW,,0,
2024-11-13,10:59:16,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,22.84,USD,4.76,lb,,1.0,25,Chicken - Boneless,Meat-Protein,Presented - Not Sold,Breakfast,Donation,Donation Pan,Pre-Consumer,Stephanie,,0,
2024-11-13,10:58:16,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,1.51,USD,1.16,lb,,1.0,58,Mixed Starch,Mixed Foods,Presented - Not Sold,Breakfast,Donation,Donation Pan,Pre-Consumer,Stephanie,,0,
2024-11-13,10:57:13,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,6.06,USD,3.16,lb,,1.0,86,Pancake,Bread-Cereal,Presented - Not Sold,Breakfast,Donation,Donation Pan,Pre-Consumer,Stephanie,,0,
2024-11-13,10:21:49,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,13.44,USD,7.20,lb,,1.0,20,Eggs,Dairy & Eggs,Presented - Not Sold,Kitchen,Compost,Sixth Pan (4-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,10:21:20,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,8.46,USD,4.41,lb,,1.0,24,Pancake,Bread-Cereal,Presented - Not Sold,Kitchen,Compost,Full Hotel Pan (1-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,10:20:45,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,0.88,USD,1.16,lb,,1.0,13,Vegetables,Fruit-Vegetable,Presented - Not Sold,Kitchen,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,10:19:52,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,0.43,USD,0.26,lb,,1.0,56,Tofu,Meat-Protein,Presented - Not Sold,Kitchen,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,10:18:47,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,0.10,USD,0.20,lb,,1.0,39,Potatoes,Starch,Presented - Not Sold,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-13,10:17:52,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.81,USD,2.96,lb,,1.0,13,Rice,Starch,Presented - Not Sold,Kitchen,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
